Songs,Band
Sound is ripping through your ears The deafening sound of metal nears Your bodies waiting for his whips The taste of leather on your lips Hear the cry of war louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall onto your knees for the phantom lord Victims falling under chains you hear them crying death pains The fists of terrors breaking through now there s nothing you can do Hear the cry of war louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall onto your knees for the phantom lord The leather armies have prevailed the phantom lord has never failed Smoke is lifting from the ground the rising volume metal sound Hear the cry of war louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall onto your knees for the phantom lord Fall to your knees And bow to the phantom lord,Metallica
Guilty as charged But damn it it ain t right There is someone else controlling me Death in the air Strapped in the electric chair This can t be happening to me Who made you God to say I ll take your life from you Flash before my eyes Now it s time to die Burning in my brain I can feel the flames Wait for the sign To flick the switch of death It s the beginning of the end Sweat chilling cold As I watch death unfold Consciousness my only friend My fingers grip with fear What I am doing here? Flash before my eyes Now it s time to die Burning in my brain I can feel the flames Someone help me Oh please God help me They are trying to take it all away I don t want to die Someone help me Oh please God help me They are trying to take it all away I don t want to die Time moving slowly The minutes seem like hours The final curtain call I see How true is this? Just get it over with If this is true just let it be Wakened by the horrid Scream Freed from the frightening dream Flash before my eyes Now it s time to die Burning in my brain I can feel the flames,Metallica
 Originally recorded by Budgie Look inside and you will see The words are cutting deep inside my brain Thunder burning quickly burning Knife of words is driving me insane Insane yeah Raven black is on my track He shows me how to neutralize the knife Show to me in surgery The art of fighting words to conquer life Conquer life yeah Now the wicked lance of fear Is driving from my heady mountain brain Crash course in brain surgery Has stopped the bloody knife of words again Yeah yeah yeah,Metallica
I got something to say I killed your baby today and it Doesn t matter much to me as long as it s dead I got something to say I raped your mother today and it Doesn t matter much to me as long as she s spread Ooh lovely dead just waiting for your breath Cold sweet death one last caress Ooh lovely dead just waiting for your breath Cold sweet death one last caress I got something to say I killed your baby today and it Doesn t matter much to me as long as it s dead Ooh lovely dead just waiting for your breath Cold sweet death one last caress Last caress today yo-o-o-oh yooo-oh Here in this place lies the key to your death Touch it see it Here in this place is the means to your end Touch it feel it green hell You did your best as someone could I bet you never knew you would And did you run away from me I bet you thought you really could We re gonna burn in hell - Green hell Like every hell but kind of green - Green hell green hell Try let me get back up there - Green hell green hell Feel it burning in your cereal - Green hell green hell Throw your fuckin friends inside - Green hell green hell Gotta fuckin pay and you must stay - Green hell Cannot refill the torch of death - Green hell green hell Hell is reigning in your blood - Green hell green hell Gotta burn it all green hell You did your best as someone could I bet you never knew you would And did you run away from me I bet you thought you really could Here in this place lies the key to your death Touch it see it Here in this place is your world that ended Touch it feel it green hell You did your best as someone could I bet you never knew you would And did you run away from me I bet you thought you really could You ve come to this as someone told I bet you never knew you would Gonna bring green hell green hell,Metallica
Motives changing Day to day The fire increases Masks decay I look at the river White foam floats down The body s poisoned Got to sit tight The wait The wait The wait The wait After awakening The silence grows The screams subside Distortion shows Mutant thoughts Of bad mouthed news It s just another birth Of distorted views The wait The wait The wait The wait The wait The wait The wait The wait,Metallica
Now I see his face I see his smile Such a lonely place no golden mile Eyes tell of morbid tales of his black heart His deeds through ages past tell of his part See his face see his smile Time to die Yo-ooh wo-ooh noo Angel from below change my dreams I want for glory s hour for wealth s esteem I wish to sell my soul to be reborn I wish for earthly riches don t want no crown of thorns See his face see his smile Time to die Wo-ooh oo-ooh noo I was born a fool don t want to stay that way Devil take my soul with diamonds you repay I don t care for heaven so don t you look for me to cry And I will burn in hell from the day I die See his face see his smile Time to die Wo-ooh no-ooh no,Metallica
So fucking what Well I ve been to Hastings and I ve been to Brighton I ve been to Eastbourne too So what so what And I ve been here I ve been there I ve been every fucking where So what so what So what so what you boring little cunt Well who cares who cares what you do Yeah who cares who cares about you you you you you Well I ve fucked the queen I ve fucked Bach I ve even sucked an old man s cock So what so what And I ve fucked a sheep I ve fucked a goat I rammed my cock right down its throat So what so what So what so what you boring little fuck Well who cares who cares what you do And who cares who cares about you you you you you And I ve drunk that I ve drunk this I ve spewed up on a pint of piss So what so what I ve had scank I ve had speed I ve jacked up until I bleed So what so what So what so what you boring little cunt Well who cares who cares what you do Yeah who cares who cares about you you you you you you A-hahaha Yeah I ve had crabs I ve had lice I ve had the clap and that ain t nice So what so what I ve fucked this I ve fucked that I ve even fucked a school girl s twat So what so what So what so what you boring little fuck Well who cares who cares what you do And who cares who cares about you you you you you you So fucking what Yeah,Metallica
Bet you guys didn t know we wrote that My mother was a witch she was burned alive Thankless little bitch for the tears I cried Take her down now don t want to see her face Blistered and burnt can t hide my disgrace Twenty-seven everyone was nice Gotta see em pay the price See their bodies out on the ice Take my time Am I evil? Yes I am what is it man? Am I evil? yes I am As I watched my mother die I lost my head Revenge now I sought to break with my bread Taking no chances you come with me I ll split you to the bone yeah yeah help set you free Twenty-seven everyone was nice Gotta see em pay the price See their bodies out on the ice Take my time Am I evil? yes I am come on Am I evil? yes I am ohh yea betcha man,Metallica
Ok Mexico city let s get together man Hey hey hey hey Hey hey hey hey Hey hey hey hey Hey hey hey hey Keep it going strong Yeah yeah you heard the man From the album Ride the lightning For whom the bell tolls Hey hey hey hey come on Make his fight on the hill in the early day Constant chill deep inside Shouting gun on they run through the endless grey On they fight are they right yes by who s to say? For a hill men would kill why? They do not know Stiffened wounds test there their pride Men of five still alive through the raging glow Gone insane from the pain that they surely know For whom the bell tolls Time marches on what is it? For whom the bell tolls Take a look to the sky just before you die It is the last time you will Blackened roar massive roar fills the crumbling sky Shattered goal fills his soul with a ruthless cry Stranger now are his eyes to this mystery He hears the silence so loud Crack of dawn all is gone except the will to be Now they see what will be blinded eyes to see For whom the bell tolls Time marches on give it to me For whom the bell tolls Fuck yeah ,Metallica
You want some more huh? Well that s goo man cause eh I got something to say And I killed a baby today Foesn t matter much to me As long as it s dead Well I got something to say I raped your mother today Doesn t matter much to me As long as she spread Sweet lovely death I am waiting for your breath Come sweet death one last caress Go Sweet lovely death I am waiting for your breath Come sweet death one last caress Well I got something to say I killed your baby today Doesn t matter much to me As long as it s dead Sweet lovely death Just waiting for your breath Come sweet death one last caress Last caress,Metallica
